filename,class
Ubuntu-BoldItalic_150_rand_crop_7.jpg,Ubuntu
Ubuntu-Regular_300_rand_crop_0.jpg,Ubuntu
UbuntuMono-Italic_50_rand_crop_4.jpg,Ubuntu_Mono
Ubuntu-Light_150_rand_crop_6.jpg,Ubuntu
bookman-old-style_[allfont_300_rand_crop_2.jpg,Bookman_Old_Style
Ubuntu-Italic_300_rand_crop_9.jpg,Ubuntu
Times New Roman Gras 700_80_rand_crop_0.jpg,Times_New_Roman
Times New Roman Gras 700_300_rand_crop_5.jpg,Times_New_Roman
Times New Roman 400_50_rand_crop_7.jpg,Times_New_Roman
Ubuntu-Medium_50_rand_crop_9.jpg,Ubuntu
Times New Roman Gras 700_150_rand_crop_8.jpg,Times_New_Roman
Ubuntu-MediumItalic_50_rand_crop_1.jpg,Ubuntu
Ubuntu-Medium_300_rand_crop_1.jpg,Ubuntu
Arial_50_rand_crop_4.jpg,Arial
Ubuntu-Medium_80_rand_crop_0.jpg,Ubuntu
UbuntuMono-Bold_80_rand_crop_3.jpg,Ubuntu_Mono
Ubuntu-Light_150_rand_crop_1.jpg,Ubuntu
Ubuntu-LightItalic_80_rand_crop_3.jpg,Ubuntu
Ubuntu-Regular_80_rand_crop_4.jpg,Ubuntu
Ubuntu-Italic_50_rand_crop_9.jpg,Ubuntu
Ubuntu-LightItalic_150_rand_crop_2.jpg,Ubuntu
Times New Roman Gras 700_50_rand_crop_1.jpg,Times_New_Roman
Ubuntu-Medium_150_rand_crop_6.jpg,Ubuntu
UbuntuMono-Regular_50_rand_crop_6.jpg,Ubuntu_Mono
bookman-old-style_[allfont_50_rand_crop_8.jpg,Bookman_Old_Style
Ubuntu-BoldItalic_80_rand_crop_9.jpg,Ubuntu
bookman-old-style_[allfont_80_rand_crop_8.jpg,Bookman_Old_Style
UbuntuMono-Bold_300_rand_crop_9.jpg,Ubuntu_Mono
Times New Roman 400_150_rand_crop_4.jpg,Times_New_Roman
Verdana_50_rand_crop_0.jpg,Verdana
bookman-old-style_[allfont_150_rand_crop_9.jpg,Bookman_Old_Style
Times New Roman Italique 400_50_rand_crop_6.jpg,Times_New_Roman
Ubuntu-Italic_50_rand_crop_3.jpg,Ubuntu
Times New Roman Italique 400_80_rand_crop_0.jpg,Times_New_Roman
Times New Roman 400_300_rand_crop_5.jpg,Times_New_Roman
Times New Roman 400_80_rand_crop_1.jpg,Times_New_Roman
Times New Roman Gras 700_80_rand_crop_4.jpg,Times_New_Roman
Ubuntu-Bold_80_rand_crop_7.jpg,Ubuntu
UbuntuMono-Italic_150_rand_crop_7.jpg,Ubuntu_Mono
Times New Roman 400_50_rand_crop_9.jpg,Times_New_Roman
Times New Roman Italique 400_80_rand_crop_2.jpg,Times_New_Roman
Ubuntu-BoldItalic_150_rand_crop_0.jpg,Ubuntu
Ubuntu-Light_80_rand_crop_2.jpg,Ubuntu
Times New Roman Gras 700_150_rand_crop_4.jpg,Times_New_Roman
UbuntuMono-BoldItalic_150_rand_crop_3.jpg,Ubuntu_Mono
Ubuntu-Regular_80_rand_crop_9.jpg,Ubuntu
UbuntuMono-Bold_50_rand_crop_0.jpg,Ubuntu_Mono
Ubuntu-MediumItalic_150_rand_crop_2.jpg,Ubuntu
Times New Roman Gras 700_50_rand_crop_8.jpg,Times_New_Roman
Verdana_300_rand_crop_3.jpg,Verdana
UbuntuMono-Bold_80_rand_crop_4.jpg,Ubuntu_Mono
UbuntuMono-BoldItalic_80_rand_crop_9.jpg,Ubuntu_Mono
Ubuntu-BoldItalic_300_rand_crop_1.jpg,Ubuntu
Ubuntu-LightItalic_80_rand_crop_7.jpg,Ubuntu
Ubuntu-Bold_80_rand_crop_5.jpg,Ubuntu
bookman-old-style_[allfont_80_rand_crop_3.jpg,Bookman_Old_Style
Times New Roman Italique 400_150_rand_crop_9.jpg,Times_New_Roman
Times New Roman 400_80_rand_crop_9.jpg,Times_New_Roman
Times New Roman 400_300_rand_crop_6.jpg,Times_New_Roman
Ubuntu-LightItalic_50_rand_crop_5.jpg,Ubuntu
Verdana_150_rand_crop_3.jpg,Verdana
UbuntuMono-BoldItalic_80_rand_crop_2.jpg,Ubuntu_Mono
Ubuntu-LightItalic_80_rand_crop_5.jpg,Ubuntu
Ubuntu-Bold_80_rand_crop_0.jpg,Ubuntu
Ubuntu-BoldItalic_150_rand_crop_8.jpg,Ubuntu
Times New Roman Italique 400_150_rand_crop_5.jpg,Times_New_Roman
Ubuntu-Light_300_rand_crop_8.jpg,Ubuntu
Ubuntu-MediumItalic_150_rand_crop_1.jpg,Ubuntu
Times New Roman Gras 700_50_rand_crop_0.jpg,Times_New_Roman
Arial_150_rand_crop_0.jpg,Arial
Ubuntu-BoldItalic_50_rand_crop_1.jpg,Ubuntu
bookman-old-style_[allfont_300_rand_crop_3.jpg,Bookman_Old_Style
Ubuntu-Italic_50_rand_crop_2.jpg,Ubuntu
Ubuntu-Light_300_rand_crop_5.jpg,Ubuntu
Times New Roman Gras Italique 700_50_rand_crop_0.jpg,Times_New_Roman
UbuntuMono-Regular_300_rand_crop_9.jpg,Ubuntu_Mono
Times New Roman 400_300_rand_crop_9.jpg,Times_New_Roman
Ubuntu-Italic_150_rand_crop_0.jpg,Ubuntu
Times New Roman Gras 700_80_rand_crop_6.jpg,Times_New_Roman
UbuntuMono-BoldItalic_50_rand_crop_4.jpg,Ubuntu_Mono
UbuntuMono-BoldItalic_80_rand_crop_6.jpg,Ubuntu_Mono
Times New Roman Gras 700_300_rand_crop_7.jpg,Times_New_Roman
Verdana_50_rand_crop_4.jpg,Verdana
UbuntuMono-Bold_150_rand_crop_7.jpg,Ubuntu_Mono
Times New Roman 400_150_rand_crop_3.jpg,Times_New_Roman
bookman-old-style_[allfont_50_rand_crop_2.jpg,Bookman_Old_Style
Ubuntu-Medium_150_rand_crop_9.jpg,Ubuntu
Arial_80_rand_crop_7.jpg,Arial
Ubuntu-Bold_50_rand_crop_6.jpg,Ubuntu
UbuntuMono-Regular_150_rand_crop_3.jpg,Ubuntu_Mono
bookman-old-style_[allfont_80_rand_crop_9.jpg,Bookman_Old_Style
Times New Roman Gras Italique 700_50_rand_crop_1.jpg,Times_New_Roman
Ubuntu-Medium_50_rand_crop_7.jpg,Ubuntu
UbuntuMono-Regular_150_rand_crop_1.jpg,Ubuntu_Mono
UbuntuMono-Regular_300_rand_crop_1.jpg,Ubuntu_Mono
Times New Roman Gras 700_150_rand_crop_3.jpg,Times_New_Roman
UbuntuMono-Italic_300_rand_crop_5.jpg,Ubuntu_Mono
Ubuntu-Italic_150_rand_crop_2.jpg,Ubuntu
UbuntuMono-Italic_80_rand_crop_7.jpg,Ubuntu_Mono
Times New Roman Italique 400_300_rand_crop_4.jpg,Times_New_Roman
Times New Roman 400_300_rand_crop_8.jpg,Times_New_Roman
Times New Roman 400_150_rand_crop_7.jpg,Times_New_Roman
Ubuntu-Light_80_rand_crop_1.jpg,Ubuntu
Times New Roman Gras Italique 700_80_rand_crop_3.jpg,Times_New_Roman
Ubuntu-Regular_150_rand_crop_2.jpg,Ubuntu
Ubuntu-MediumItalic_300_rand_crop_7.jpg,Ubuntu
Times New Roman Gras Italique 700_300_rand_crop_4.jpg,Times_New_Roman
UbuntuMono-Bold_300_rand_crop_8.jpg,Ubuntu_Mono
Times New Roman 400_80_rand_crop_0.jpg,Times_New_Roman
Times New Roman Italique 400_300_rand_crop_7.jpg,Times_New_Roman
Times New Roman Gras 700_150_rand_crop_6.jpg,Times_New_Roman
Ubuntu-MediumItalic_50_rand_crop_8.jpg,Ubuntu
UbuntuMono-BoldItalic_50_rand_crop_0.jpg,Ubuntu_Mono
Times New Roman Gras 700_300_rand_crop_6.jpg,Times_New_Roman
Times New Roman Gras 700_150_rand_crop_9.jpg,Times_New_Roman
Times New Roman Gras 700_80_rand_crop_2.jpg,Times_New_Roman
Times New Roman Italique 400_150_rand_crop_7.jpg,Times_New_Roman
Arial_300_rand_crop_6.jpg,Arial
UbuntuMono-Italic_150_rand_crop_4.jpg,Ubuntu_Mono
Times New Roman Gras Italique 700_50_rand_crop_9.jpg,Times_New_Roman
Ubuntu-BoldItalic_50_rand_crop_4.jpg,Ubuntu
Ubuntu-LightItalic_300_rand_crop_0.jpg,Ubuntu
Arial_300_rand_crop_7.jpg,Arial
Arial_150_rand_crop_4.jpg,Arial
Times New Roman Gras 700_50_rand_crop_5.jpg,Times_New_Roman
Ubuntu-MediumItalic_300_rand_crop_8.jpg,Ubuntu
UbuntuMono-Bold_50_rand_crop_8.jpg,Ubuntu_Mono
Ubuntu-BoldItalic_300_rand_crop_4.jpg,Ubuntu
Times New Roman Italique 400_50_rand_crop_3.jpg,Times_New_Roman
Times New Roman Gras 700_80_rand_crop_3.jpg,Times_New_Roman
Ubuntu-Italic_150_rand_crop_6.jpg,Ubuntu
Ubuntu-Regular_150_rand_crop_5.jpg,Ubuntu
Ubuntu-Light_80_rand_crop_8.jpg,Ubuntu
Ubuntu-LightItalic_80_rand_crop_2.jpg,Ubuntu
Times New Roman Italique 400_300_rand_crop_5.jpg,Times_New_Roman
UbuntuMono-Bold_300_rand_crop_2.jpg,Ubuntu_Mono
Ubuntu-BoldItalic_300_rand_crop_0.jpg,Ubuntu
UbuntuMono-Italic_50_rand_crop_3.jpg,Ubuntu_Mono
Times New Roman 400_300_rand_crop_2.jpg,Times_New_Roman
UbuntuMono-Bold_150_rand_crop_1.jpg,Ubuntu_Mono
Times New Roman Italique 400_150_rand_crop_8.jpg,Times_New_Roman
Ubuntu-Italic_50_rand_crop_6.jpg,Ubuntu
Ubuntu-Medium_150_rand_crop_3.jpg,Ubuntu
Ubuntu-LightItalic_150_rand_crop_6.jpg,Ubuntu
UbuntuMono-Bold_300_rand_crop_4.jpg,Ubuntu_Mono
UbuntuMono-Italic_50_rand_crop_7.jpg,Ubuntu_Mono
Ubuntu-BoldItalic_150_rand_crop_1.jpg,Ubuntu
bookman-old-style_[allfont_80_rand_crop_7.jpg,Bookman_Old_Style
bookman-old-style_[allfont_50_rand_crop_7.jpg,Bookman_Old_Style
bookman-old-style_[allfont_150_rand_crop_2.jpg,Bookman_Old_Style
Ubuntu-Medium_300_rand_crop_4.jpg,Ubuntu
UbuntuMono-Italic_300_rand_crop_1.jpg,Ubuntu_Mono
Times New Roman Gras Italique 700_300_rand_crop_0.jpg,Times_New_Roman
Ubuntu-Bold_80_rand_crop_4.jpg,Ubuntu
UbuntuMono-Bold_80_rand_crop_2.jpg,Ubuntu_Mono
Ubuntu-Italic_80_rand_crop_0.jpg,Ubuntu
Ubuntu-Medium_150_rand_crop_8.jpg,Ubuntu
UbuntuMono-Italic_50_rand_crop_5.jpg,Ubuntu_Mono
Times New Roman Italique 400_80_rand_crop_4.jpg,Times_New_Roman
Ubuntu-Bold_300_rand_crop_7.jpg,Ubuntu
Arial_150_rand_crop_3.jpg,Arial
Times New Roman Gras Italique 700_300_rand_crop_7.jpg,Times_New_Roman
